#Time Ao_1 VAD_1 Ao_2 VAD_2 Ao_3 VAD_3 Ao_4 VAD_4 Ao_5 VAD_5 Ao_6 VAD_6 Ao_7 VAD_7 Ao_8 VAD_8 Ao_9 VAD_9 Ao_10 VAD_10 Ao_11 VAD_11 Ao_12 VAD_12 Ao_13 VAD_13 Ao_14 VAD_14 Ao_15 VAD_15 Ao_16 VAD_16 Ao_17 VAD_17 Ao_18 VAD_18 Ao_19 VAD_19 Ao_20 VAD_20 Ao_21 VAD_21 Ao_22 VAD_22 Ao_23 VAD_23 Ao_24 VAD_24 Ao_25 VAD_25 Ao_26 VAD_26 Ao_27 VAD_27 Ao_28 VAD_28 Ao_29 VAD_29 Ao_30 VAD_30 Ao_31 VAD_31 Ao_32 VAD_32 Ao_33 VAD_33 Ao_34 VAD_34 Ao_35 VAD_35 Ao_36 VAD_36 Ao_37 VAD_37 Ao_38 VAD_38 Ao_39 VAD_39 Ao_40 VAD_40 Ao_41 VAD_41 Ao_42 VAD_42 Ao_43 VAD_43 Ao_44 VAD_44 Ao_45 VAD_45 Ao_46 VAD_46 Ao_47 VAD_47 Ao_48 VAD_48 Ao_49 VAD_49 Ao_50 VAD_50
0.0 0.0 142.1058 0.0 143.4133 0.0 162.5755 0.0 127.694 0.0 99.1418 0.0 124.9232 0.0 115.4765 0.0 108.5591 0.0 156.6272 0.0 92.6355 0.0 108.5142 0.0 160.5587 0.0 111.4958 0.0 167.2166 0.0 161.2406 0.0 115.0716 0.0 105.801 0.0 138.9946 0.0 173.5541 0.0 108.0736 0.0 99.3815 0.0 116.1958 0.0 127.841 0.0 129.5169 0.0 139.1428 0.0 114.0625 0.0 165.1131 0.0 157.6994 0.0 97.146 0.0 134.2342 0.0 86.8739 0.0 153.8494 0.0 142.0913 0.0 114.3606 0.0 161.2142 0.0 118.1905 0.0 129.1971 0.0 103.8146 0.0 104.3512 0.0 149.4676 0.0 144.2999 0.0 134.7334 0.0 105.6228 0.0 96.4258 0.0 168.3886 0.0 155.3466 0.0 135.5738 0.0 127.3135 0.0 156.5103 0.0 149.1276
0.0043 -42.3055 142.9848 -42.6243 144.3049 -48.809 163.5112 -37.7852 128.5496 -28.7357 100.0092 -36.929 125.8466 -33.9351 116.4127 -31.7343 109.4652 -46.8905 157.4802 -26.6851 93.5358 -31.725 109.4401 -48.1584 161.4545 -32.6752 112.4371 -50.2741 168.0787 -48.3597 162.086 -33.7923 115.9885 -30.7973 106.6788 -41.2818 139.8068 -52.218 174.405 -31.5549 108.9012 -28.7988 100.1978 -34.1697 117.1502 -37.8554 128.7708 -38.3475 130.3262 -41.4339 140.0911 -33.4645 114.9023 -49.5894 165.9432 -47.2678 158.6479 -28.1184 98.0658 -39.7507 135.1791 -24.8702 87.826 -46.0097 154.6731 -42.2866 142.9253 -33.5664 115.2497 -48.3594 162.0851 -34.7737 119.0495 -38.2852 130.1296 -30.1661 104.6334 -30.3354 105.2555 -44.6431 150.3547 -43.0338 145.126 -39.8761 135.578 -30.7381 106.5213 -27.8876 97.3387 -50.6244 169.2523 -46.4948 156.1833 -40.3073 136.533 -37.6735 128.1968 -46.8605 157.3857 -44.5442 150.0383
0.0086 -34.9323 138.8102 -35.6318 140.0406 -41.058 158.3077 -30.7681 124.9475 -22.7381 97.3383 -30.3283 122.0584 -27.0473 112.9239 -25.137 106.3369 -39.4353 152.9415 -20.6268 90.9938 -25.2912 106.2436 -39.9107 156.549 -26.1366 109.0766 -42.2151 163.1239 -40.4964 157.4342 -26.9278 112.5909 -24.1873 103.7663 -33.9783 136.0598 -44.364 169.3078 -24.8974 106.0633 -22.5606 97.6785 -27.3092 113.5637 -31.1312 124.8483 -31.7229 126.8624 -34.6287 135.6699 -26.9714 111.8202 -41.8875 161.2438 -39.6576 153.5582 -21.5844 95.3053 -32.662 130.9964 -18.756 85.3548 -38.0471 150.3793 -35.0251 138.9663 -26.7302 111.9786 -40.3321 157.2931 -28.307 115.7592 -31.5628 126.1458 -23.4827 101.9776 -23.7527 102.3089 -37.0605 145.8823 -35.7197 141.113 -32.8753 131.8261 -24.0861 103.5476 -21.3803 94.6279 -42.8676 164.2569 -38.8462 151.7732 -33.0153 132.1964 -30.5205 124.4907 -39.3843 152.7309 -37.1659 145.4578
0.0129 -22.7147 139.2484 -22.9657 140.4836 -27.1174 158.7387 -19.6937 125.4025 -13.5974 97.846 -19.0042 122.5547 -17.0143 113.4459 -15.5845 106.8681 -25.7709 153.3384 -12.1833 91.5392 -15.5891 106.7781 -26.7506 156.9543 -16.2007 109.6126 -28.2389 163.5063 -26.8975 157.8161 -16.9763 113.1019 -15.0 104.2693 -22.1516 136.4703 -29.4276 169.6678 -15.526 106.5315 -13.5839 98.1568 -17.1537 114.1114 -19.6402 125.349 -20.112 127.2901 -22.0718 136.1552 -16.8109 112.2897 -27.7021 161.6177 -26.0875 154.0076 -13.1221 95.8592 -20.9085 131.4848 -11.0492 85.9511 -25.1689 150.7618 -22.7538 139.3796 -16.8421 112.4748 -26.8962 157.6963 -17.6019 116.2298 -19.8707 126.6453 -14.6509 102.4438 -14.6545 102.8334 -24.388 146.3088 -23.3233 141.5213 -21.1739 132.2569 -14.9491 104.0694 -13.0206 95.1723 -28.1909 164.6322 -25.6772 152.1724 -21.375 132.6968 -19.5429 124.9642 -25.8884 153.1398 -24.2719 145.8999
0.0171 -13.1496 139.5361 -13.389 140.7657 -15.55 158.9848 -11.5801 125.7186 -7.7642 98.2535 -11.281 122.9142 -10.3359 113.8345 -9.4735 107.2562 -14.6664 153.5711 -7.0468 91.9782 -9.383 107.1771 -15.3333 157.1983 -9.7801 110.0114 -16.1095 163.7168 -15.3851 158.0431 -10.2258 113.4846 -8.9609 104.6578 -12.7055 136.7366 -16.5674 169.8723 -9.0998 106.8865 -7.8467 98.5367 -10.641 114.4973 -11.823 125.6962 -11.6592 127.5814 -13.0315 136.4762 -9.9035 112.6356 -15.8287 161.8291 -15.1993 154.2627 -7.8423 96.29 -12.5217 131.8228 -6.3944 86.4268 -14.2436 150.9851 -13.0062 139.6494 -10.082 112.8469 -15.3566 157.9252 -10.3564 116.578 -11.8506 126.9949 -8.3568 102.8103 -8.7128 103.2369 -13.9179 146.5783 -13.4106 141.7853 -12.2229 132.5479 -8.9633 104.4626 -7.6584 95.5991 -16.0501 164.8488 -14.8509 152.3947 -13.0641 133.0253 -11.5904 125.2969 -14.7351 153.3759 -14.1101 146.1726
0.0214 -5.9573 139.994 -6.0178 141.2229 -7.2491 159.443 -5.0121 126.1864 -2.8042 98.7786 -4.9085 123.439 -4.2572 114.3812 -3.8551 107.7779 -6.7654 153.9905 -2.3277 92.5236 -3.7696 107.718 -7.0109 157.6415 -3.9762 110.5615 -7.3843 164.1209 -6.9823 158.4553 -4.1761 114.0188 -3.4027 105.1753 -5.6092 137.1506 -7.7967 170.2653 -3.5657 107.366 -2.8646 99.0225 -4.5214 115.0394 -5.2057 126.2129 -5.0395 128.0139 -5.8421 136.9909 -3.9944 113.1149 -7.2595 162.2205 -7.017 154.7316 -2.8559 96.8373 -5.5186 132.3444 -1.9946 87.0008 -6.5366 151.3861 -5.7997 140.0793 -4.1046 113.3628 -7.1347 158.3406 -4.2771 117.0673 -5.2291 127.5161 -3.1341 103.2953 -3.3827 103.769 -6.2957 147.034 -5.9581 142.2083 -5.3319 132.9951 -3.5181 104.9847 -2.7256 96.1464 -7.4606 165.261 -6.7257 152.797 -5.8029 133.5451 -5.0398 125.7854 -6.734 153.8083 -6.4522 146.6335
0.0257 -1.4372 140.6113 -1.4508 141.8511 -2.118 160.1186 -0.8336 126.7856 0.3451 99.3717 -0.8503 124.0784 -0.4422 115.0266 -0.1643 108.3967 -1.9009 154.5969 0.6061 93.132 -0.0858 108.3567 -2.0459 158.2855 -0.2409 111.2114 -2.2542 164.7493 -1.9948 159.0642 -0.4284 114.6487 0.0331 105.7745 -1.2331 137.7238 -2.5196 170.8827 -0.0149 107.9395 0.3196 99.5759 -0.5397 115.6934 -0.9581 126.8594 -0.8712 128.5834 -1.3284 137.6624 -0.2838 113.7003 -2.2206 162.8157 -2.0847 155.4109 0.3812 97.4601 -1.194 133.0022 0.899 87.6394 -1.7786 151.977 -1.3785 140.6693 -0.399 113.9728 -2.0786 158.9623 -0.4545 117.6642 -1.063 128.1621 0.2221 103.8604 0.0884 104.3865 -1.5981 147.6671 -1.4058 142.7931 -1.0294 133.5933 0.0501 105.6016 0.4841 96.7725 -2.3228 165.884 -1.8884 153.3948 -1.3067 134.2174 -0.9126 126.3988 -1.8892 154.4373 -1.6833 147.2773
0.03 1.0858 141.3544 0.964 142.6096 0.6361 160.9506 1.3462 127.4916 2.1255 100.0383 1.4382 124.8265 1.6773 115.7712 1.6477 109.1082 0.8148 155.3428 2.2867 93.8119 1.738 109.0859 0.7764 159.0775 1.6893 111.9558 0.5241 165.5284 0.7749 159.8153 1.7133 115.3758 1.965 106.4587 1.0935 138.4109 0.5326 171.6549 1.8435 108.5936 2.1236 100.2029 1.429 116.454 1.321 127.6209 1.2661 129.2567 1.1232 138.4619 1.6649 114.3735 0.6567 163.5566 0.6813 156.2429 2.0582 98.1631 1.2404 133.7826 2.37 88.3507 0.8089 152.6978 1.1112 141.3785 1.7176 114.6773 0.6682 159.7334 1.6675 118.3551 1.3773 128.9235 2.0354 104.4999 1.9251 105.089 1.0066 148.4338 1.0601 143.5012 1.2378 134.3021 1.8397 106.304 2.1164 97.4737 0.6302 166.66 0.7116 154.129 1.0721 135.0177 1.3885 127.1213 0.8253 155.2066 0.8585 148.0617
0.0343 2.0614 142.1484 1.8295 143.4049 1.8095 161.8368 2.1578 128.2258 2.793 100.7323 2.3827 125.6207 2.4514 116.5548 2.0279 109.8264 1.931 156.1488 2.7928 94.5169 2.2961 109.8294 1.9015 159.9318 2.398 112.7232 1.4608 166.35 1.8764 160.6241 2.4794 116.1426 2.5733 107.174 1.7828 139.1258 1.7297 172.4964 2.4441 109.2659 2.69 100.8575 1.893 117.2275 2.2422 128.4214 1.9085 129.9496 2.1403 139.3055 2.1679 115.0616 1.76 164.3566 1.6795 157.1241 2.5879 98.8821 2.2199 134.6154 2.7643 89.071 1.7772 153.4606 2.1158 142.1311 2.4846 115.4212 1.8313 160.56 2.4177 119.0826 2.2236 129.7362 2.6545 105.1655 2.6271 105.8153 2.017 149.2548 2.0614 144.2515 2.018 135.0404 2.2655 107.0171 2.5271 98.1832 1.8005 167.5018 1.4621 154.8967 1.854 135.8511 2.2457 127.8867 1.935 156.0306 1.95 148.8932
0.0386 1.7062 142.8996 1.5251 144.147 1.6786 162.687 1.7921 128.9092 2.7037 101.3818 2.3324 126.3736 2.2067 117.2881 1.1535 110.4639 1.9696 156.92 2.484 95.1657 1.8056 110.5095 1.9168 160.7484 2.0752 113.4385 1.203 167.1179 1.7858 161.3951 2.3177 116.8625 2.2417 107.836 1.3096 139.784 1.7807 173.3026 2.1248 109.8892 2.4369 101.4644 1.1434 117.9202 1.732 129.1803 1.3332 130.5819 1.8507 140.1108 1.7006 115.6905 1.4791 165.119 1.5367 157.9573 2.0528 99.5448 2.1814 135.4066 2.1688 89.7267 1.5565 154.1797 1.6443 142.8485 2.2696 116.1177 1.4373 161.3497 2.1031 119.7622 2.0348 130.5007 2.3983 105.784 2.0382 106.495 1.9308 150.0343 1.5858 144.9665 1.7605 135.7301 1.6921 107.6637 2.0852 98.8298 1.8703 168.3095 0.9197 155.6017 1.4477 136.6218 1.8278 128.6046 1.7256 156.8192 1.4705 149.6856
