%eval_id interface          PUMPB          PUMPC             HR             EF          DENSI          VISCO          PUMPA           AORP            AOC           AORS            LAP          MXFAO           FFAO       AVGFLVAD        MXFLVAD          AVGFM           MXFM 
1        INTERFACE -0.001295058447    157.0733706    60.47003008   0.1797782662            1.1         0.0372              0           1700         0.0012            100          10000      102.81769    12.39831704    49.83256813      76.354347   -56.33455171     -263.75064 
2        INTERFACE -0.001300509215    158.0590345    62.64504173    0.177041611            1.1         0.0372              0           1700         0.0012            100          10000      105.54557    12.56968782     48.3952387      75.816275   -54.85512271     -264.47489 
3        INTERFACE -0.001319409217    166.9846512    61.75734228   0.1559564808            1.1         0.0372              0           1700         0.0012            100          10000      81.550008    9.415899133    54.58318987      74.883337   -59.47448793     -246.73116 
4        INTERFACE -0.001285073703    150.7433279    62.49383172    0.168251102            1.1         0.0372              0           1700         0.0012            100          10000      100.71869    12.09387897    43.50184713      69.025358   -49.74562488     -243.54614 
5        INTERFACE -0.001290128392    140.4507032    58.12236664   0.1589336786            1.1         0.0372              0           1700         0.0012            100          10000        90.2262    11.02247542    36.51927773       57.35178   -42.49412325     -211.30744 
6        INTERFACE -0.001314157862    152.3327986    58.25241873   0.1699760912            1.1         0.0372              0           1700         0.0012            100          10000      95.064431    11.24759319    45.25571063      66.108477   -51.30134133     -239.14339 
7        INTERFACE -0.001319601247    149.2687716    59.65655717   0.1630306408            1.1         0.0372              0           1700         0.0012            100          10000      91.765932    10.94820734    41.62412828      65.431666   -47.36362937     -228.36507 
8        INTERFACE -0.001306683799    145.4950226     64.1735955   0.1842819518            1.1         0.0372              0           1700         0.0012            100          10000      120.58445    14.39362506    37.68480238      72.316893   -44.69258891     -257.15242 
9        INTERFACE -0.001283940092    161.5343506     58.4473537   0.1813987856            1.1         0.0372              0           1700         0.0012            100          10000      98.694114     11.6670575    55.55199155      77.405409   -61.74961177     -269.75455 
10       INTERFACE -0.001304199796    139.2747796    59.29121235   0.1764259402            1.1         0.0372              0           1700         0.0012            100          10000      106.76075    13.51959391    35.22639801      63.031594   -42.16332739     -229.43715 
11       INTERFACE -0.001315184445    146.2476014    63.11839571   0.1615840971            1.1         0.0372              0           1700         0.0012            100          10000      99.335026    11.94929134    37.53818281      63.237122   -43.66281326     -227.03314 
12       INTERFACE -0.001302292744     164.675897    59.53335445   0.1604006481            1.1         0.0372              0           1700         0.0012            100          10000      83.427636    9.624819585    55.72248227      72.912255   -60.80779949     -247.11865 
13       INTERFACE -0.001321806968    147.9696589     62.1115157   0.1592058941            1.1         0.0372              0           1700         0.0012            100          10000      95.146791    11.55488156    38.93045318      62.443738   -44.85332081     -224.42125 
14       INTERFACE -0.001287857504    165.8759832    63.83986321   0.1581937288            1.1         0.0372              0           1700         0.0012            100          10000      88.106472    10.17406422    53.56753928      76.168496   -58.78077903     -255.36872 
15       INTERFACE -0.001280679134    162.9761877    60.22929163   0.1622804696            1.1         0.0372              0           1700         0.0012            100          10000      86.957258    10.11581809    54.86881304      73.115778   -60.18684616     -251.05225 
16       INTERFACE -0.001311350771    148.3694861    58.59864045   0.1724627531            1.1         0.0372              0           1700         0.0012            100          10000      97.170004    11.81322563    42.31070091      67.803121   -48.56187346     -237.21302 
17       INTERFACE -0.00129460155    143.3628661    59.84873023   0.1677918961            1.1         0.0372              0           1700         0.0012            100          10000      98.366398    12.20634455    38.44408113        63.6368   -44.84148199     -228.51101 
18       INTERFACE -0.001266460694    153.3132659    63.26919941   0.1788004491            1.1         0.0372              0           1700         0.0012            100          10000       108.9783    12.84187767    46.55565146      76.174113    -53.0508864     -264.14724 
19       INTERFACE -0.001283017497    167.8240243     59.3485209   0.1716987142            1.1         0.0372              0           1700         0.0012            100          10000      90.107184    10.42159085    60.05160954      78.595036   -65.53608833     -266.56829 
20       INTERFACE -0.001273056415    142.2682526    62.16970386   0.1609493391            1.1         0.0372              0           1700         0.0012            100          10000      98.132037    11.99473349     37.4745755      61.037616     -43.506901     -223.37788 
21       INTERFACE -0.001268226402    138.5583743    58.63466095   0.1821742981            1.1         0.0372              0           1700         0.0012            100          10000      108.13857    13.45043638    37.58409105      67.131356   -44.43197402     -240.85133 
22       INTERFACE -0.00132740366    150.2458773    64.03419611   0.1838049251            1.1         0.0372              0           1700         0.0012            100          10000      117.97737    13.98077018    40.52443877      74.485361   -47.37262329     -261.47248 
23       INTERFACE -0.00131687996    153.6778059    61.34781271   0.1727701786            1.1         0.0372              0           1700         0.0012            100          10000      101.18444    12.26717631    44.88047972      71.366404   -51.05932184     -248.18489 
24       INTERFACE -0.001265175474    149.6284991      63.728019   0.1711311402            1.1         0.0372              0           1700         0.0012            100          10000      105.24639    12.40930639     43.2939033      71.127853   -49.55492024     -250.50445 
25       INTERFACE -0.001324799851    158.6499712    61.54770431   0.1531124408            1.1         0.0372              0           1700         0.0012            100          10000      83.859809    9.890858984    47.20916045      67.521376    -52.4754864     -231.88264 
26       INTERFACE -0.001278288094    144.9967068    63.51381957   0.1567882858            1.1         0.0372              0           1700         0.0012            100          10000       95.33092    11.36613693    38.41940006      62.789741   -44.21137576     -224.22764 
27       INTERFACE -0.00127414126    163.8423928    60.57650527   0.1860596585            1.1         0.0372              0           1700         0.0012            100          10000      103.21842    12.12106047     57.3770736      85.382631   -63.53327322     -283.41099 
28       INTERFACE -0.001324887675    165.6446482    62.63462948    0.165423551            1.1         0.0372              0           1700         0.0012            100          10000      92.358359    10.86584291    52.49201987      76.548057   -58.17019585     -257.45321 
29       INTERFACE -0.001312595716    141.7330039    61.85148654   0.1778733049            1.1         0.0372              0           1700         0.0012            100          10000      112.95099    14.03311758    35.47284966      64.670921   -42.52382605     -239.33765 
30       INTERFACE -0.001323333438    156.6690966     58.8856498   0.1650789985            1.1         0.0372              0           1700         0.0012            100          10000       89.65247    10.56282906    47.76534015      68.504559   -53.48662748     -239.55938 
31       INTERFACE -0.001326463578    139.1207806    61.91374125   0.1864239923            1.1         0.0372              0           1700         0.0012            100          10000      123.35459    15.66556334    32.53570942      63.308195   -40.04535271     -241.95157 
32       INTERFACE -0.001271379359    159.3514837    62.33771945   0.1754835658            1.1         0.0372              0           1700         0.0012            100          10000      102.04388    12.13307117     51.7442274      77.189383   -57.91246921      -267.4687 
33       INTERFACE -0.001275769238    155.3218368     61.1376557   0.1734780273            1.1         0.0372              0           1700         0.0012            100          10000      99.468663    11.94353452    48.96441927      73.956945   -55.11383222      -256.7876 
34       INTERFACE -0.001299418087    147.0216579    58.84225679   0.1754056527            1.1         0.0372              0           1700         0.0012            100          10000      99.809724    12.10472645    42.05260192      69.007878   -48.46161778     -240.74344 
35       INTERFACE -0.001291605262    163.9552765    60.85899764   0.1854854626            1.1         0.0372              0           1700         0.0012            100          10000      104.96816    12.48876895    55.74986398      83.054618   -62.06198164     -281.98417 
36       INTERFACE -0.001286505634    147.2948139    60.14721314   0.1641172509            1.1         0.0372              0           1700         0.0012            100          10000      93.301888    11.21699962    41.90622086      66.389478   -47.72504587     -230.81756 
37       INTERFACE -0.001317993084    154.2891643    59.15767024   0.1803611783            1.1         0.0372              0           1700         0.0012            100          10000      100.55934    12.02942065     47.1217315      76.070092   -53.23068238     -255.34874 
38       INTERFACE -0.001269299981    140.3246553    59.78362326   0.1541235632            1.1         0.0372              0           1700         0.0012            100          10000      88.105024    10.75567996    37.02662801      58.421631   -42.68235768     -210.79269 
39       INTERFACE -0.001305899538    143.8397238    61.04668244   0.1672092026            1.1         0.0372              0           1700         0.0012            100          10000      101.17018    12.52973736    37.41112124      62.499221   -43.91763631     -228.62061 
40       INTERFACE -0.001298534212    160.1597883    60.06988865   0.1575905522            1.1         0.0372              0           1700         0.0012            100          10000      83.339121    9.557502611    51.53938765      70.173219   -56.67909266     -239.65408 
41       INTERFACE -0.001272392549    155.8477412    61.23525188    0.174615127            1.1         0.0372              0           1700         0.0012            100          10000      100.90115    12.14661824    49.45959761      74.010657   -55.67643347     -260.10032 
42       INTERFACE -0.001280342468    152.9654777    62.83527702   0.1549907058            1.1         0.0372              0           1700         0.0012            100          10000      88.977083     10.5564934    44.78575842      66.855622   -50.24205446     -232.51567 
43       INTERFACE -0.001303455047    144.0971851    63.42934318   0.1661624416            1.1         0.0372              0           1700         0.0012            100          10000       104.3764    12.55149456    36.43714036      64.107785   -42.87846478      -232.5096 
44       INTERFACE -0.00130962933    141.1933215    62.99371793   0.1552856575            1.1         0.0372              0           1700         0.0012            100          10000      96.756261    11.85199228    33.44062809      57.190075   -39.56227593     -212.43793 
45       INTERFACE -0.001288511849    166.3765094    59.01192926   0.1692393124            1.1         0.0372              0           1700         0.0012            100          10000      87.680697    10.00429122    58.62938461      77.158698   -63.82367151     -260.10599 
46       INTERFACE -0.001276959032    160.4202746    63.90954081    0.183310102            1.1         0.0372              0           1700         0.0012            100          10000      111.13579    12.93307575    51.12560628      82.057545    -57.5634215     -281.24934 
47       INTERFACE -0.001329457871    157.7278461    63.19628432   0.1700079351            1.1         0.0372              0           1700         0.0012            100          10000      101.40641    12.03382962    45.58691388      72.728795   -51.81997967     -252.46023 
48       INTERFACE -0.001296923511    151.6727362    60.40511047    0.179117533            1.1         0.0372              0           1700         0.0012            100          10000       104.6333    12.74780164    45.55485348      72.910912   -52.12237137      -253.9168 
49       INTERFACE -0.001293564396    162.3615423     60.7513874   0.1634406786            1.1         0.0372              0           1700         0.0012            100          10000      89.220907     10.5979673    53.37097541      72.903954   -59.06517065     -251.26055 
50       INTERFACE -0.001308684202    160.9505214    61.48546138   0.1827646846            1.1         0.0372              0           1700         0.0012            100          10000       105.3202    12.51464957    51.82236897      80.856916   -58.17431995     -273.00581 
