#Time Ao_1 VAD_1 Ao_2 VAD_2 Ao_3 VAD_3 Ao_4 VAD_4 Ao_5 VAD_5 Ao_6 VAD_6 Ao_7 VAD_7 Ao_8 VAD_8 Ao_9 VAD_9 Ao_10 VAD_10 Ao_11 VAD_11 Ao_12 VAD_12 Ao_13 VAD_13 Ao_14 VAD_14 Ao_15 VAD_15 Ao_16 VAD_16 Ao_17 VAD_17 Ao_18 VAD_18 Ao_19 VAD_19 Ao_20 VAD_20
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0043 2.9725 0.0 2.9663 0.0 2.9734 0.0 2.9663 0.0 2.9663 0.0 2.9889 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9723 0.0 2.9663 0.0 2.9744 0.0 2.9663 0.0 2.9663 0.0 2.9897 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0 2.9663 0.0
0.0086 8.309 0.0 8.2625 0.0 8.2047 0.0 8.3069 0.0 7.9855 0.0 8.2529 0.0 8.2872 0.0 8.3522 0.0 8.1173 0.0 8.0751 0.0 8.2692 0.0 8.3408 0.0 8.3611 0.0 8.0997 0.0 8.0699 0.0 8.2968 0.0 8.2266 0.0 8.2023 0.0 8.3261 0.0 7.9905 0.0
0.0129 10.3717 0.0 10.4237 0.0 10.3713 0.0 10.4591 0.0 10.5111 0.0 10.281 0.0 10.4755 0.0 10.4043 0.0 10.4519 0.0 10.5429 0.0 10.36 0.0 10.4355 0.0 10.3554 0.0 10.4679 0.0 10.5479 0.0 10.2865 0.0 10.469 0.0 10.3938 0.0 10.4498 0.0 10.5064 0.0
0.0171 11.493 0.0 11.6535 0.0 11.6275 0.0 11.6842 0.0 12.1102 0.0 11.471 0.0 11.7042 0.0 11.5402 0.0 11.913 0.0 12.089 0.0 11.5215 0.0 11.581 0.0 11.4502 0.0 11.9133 0.0 12.0967 0.0 11.445 0.0 11.725 0.0 11.6778 0.0 11.6434 0.0 12.1236 0.0
0.0214 13.2519 0.0 13.3661 0.0 13.4702 0.0 13.2738 0.0 13.8903 0.0 13.2721 0.0 13.3059 0.0 13.2517 0.0 13.6839 0.0 13.7815 0.0 13.277 0.0 13.238 0.0 13.2127 0.0 13.7307 0.0 13.791 0.0 13.2173 0.0 13.4397 0.0 13.4424 0.0 13.3047 0.0 13.8943 0.0
0.0257 15.1544 0.0 15.2495 0.0 15.3315 0.0 15.1664 0.0 15.706 0.0 15.0463 0.0 15.166 0.0 15.1506 0.0 15.5643 0.0 15.6259 0.0 15.204 0.0 15.1322 0.0 15.0418 0.0 15.5986 0.0 15.6318 0.0 14.9755 0.0 15.2855 0.0 15.3995 0.0 15.1477 0.0 15.7465 0.0
0.03 15.389 0.0 15.761 0.0 15.6431 0.0 15.7785 0.0 16.7113 0.0 15.0043 0.0 15.8018 0.0 15.5387 0.0 16.2364 0.0 16.5223 0.0 15.4891 0.0 15.6185 0.0 15.2279 0.0 16.3446 0.0 16.5522 0.0 14.8809 0.0 15.9527 0.0 15.9252 0.0 15.6666 0.0 16.6805 0.0
0.0343 12.158 0.0 13.2468 0.0 12.7092 0.0 13.4101 0.0 15.6653 0.0 11.3126 0.0 13.5448 0.0 12.5815 0.0 14.28 0.0 15.341 0.0 12.3752 0.0 12.9003 0.0 11.8046 0.0 14.5689 0.0 15.4258 0.0 11.0452 0.0 13.8878 0.0 13.4142 0.0 13.1045 0.0 15.6151 0.0
0.0386 4.7469 0.0 6.9045 0.0 5.907 0.0 7.3239 0.0 11.9131 0.0 3.5931 0.0 7.5734 0.0 5.4624 0.0 8.9089 0.0 11.2276 0.0 5.22 0.0 6.1639 0.0 4.0927 0.0 9.5145 0.0 11.4061 0.0 3.0394 0.0 8.2552 0.0 7.1395 0.0 6.633 0.0 11.7493 0.0
0.0428 -5.2942 0.0 -2.2338 0.0 -3.2935 0.0 -1.6752 0.0 5.6166 0.0 -6.4487 0.0 -1.3628 0.0 -4.5583 0.0 0.9052 0.0 4.458 0.0 -4.4558 0.0 -3.4851 0.0 -6.2542 0.0 1.8432 0.0 4.7362 0.0 -7.2904 0.0 -0.2111 0.0 -1.7605 0.0 -2.7449 0.0 5.3552 0.0
0.0471 -15.4527 0.0 -12.06 0.0 -12.7881 0.0 -11.7739 0.0 -1.9991 0.0 -16.1424 0.0 -11.3675 0.0 -14.909 0.0 -7.8486 0.0 -3.6883 0.0 -14.4032 0.0 -13.7627 0.0 -16.6743 0.0 -6.7419 0.0 -3.3243 0.0 -17.2102 0.0 -9.6875 0.0 -11.2414 0.0 -12.9361 0.0 -2.3937 0.0
0.0514 -23.5838 0.0 -20.5468 0.0 -20.479 0.0 -20.7148 0.0 -9.7013 0.0 -23.382 0.0 -20.2557 0.0 -23.5582 0.0 -15.7223 0.0 -11.709 0.0 -22.3832 0.0 -22.6409 0.0 -24.9597 0.0 -14.6114 0.0 -11.404 0.0 -24.5969 0.0 -18.3072 0.0 -19.1374 0.0 -21.8443 0.0 -10.0201 0.0
0.0557 -28.1473 0.0 -26.0406 0.0 -24.9669 0.0 -26.6442 0.0 -15.783 0.0 -26.9499 0.0 -26.3869 0.0 -28.8242 0.0 -21.0092 0.0 -17.9353 0.0 -26.8806 0.0 -28.2142 0.0 -29.393 0.0 -20.088 0.0 -17.644 0.0 -28.1048 0.0 -24.2155 0.0 -24.1297 0.0 -27.6216 0.0 -16.029 0.0
0.06 -28.709 0.0 -27.391 0.0 -25.6069 0.0 -28.5833 0.0 -19.2169 0.0 -26.8701 0.0 -28.3586 0.0 -29.6091 0.0 -22.7554 0.0 -21.3115 0.0 -27.6762 0.0 -29.5705 0.0 -30.089 0.0 -22.4384 0.0 -21.0954 0.0 -28.0533 0.0 -26.231 0.0 -25.479 0.0 -29.2166 0.0 -19.4529 0.0
