#Time Ao_1 VAD_1 Ao_2 VAD_2 Ao_3 VAD_3 Ao_4 VAD_4 Ao_5 VAD_5 Ao_6 VAD_6 Ao_7 VAD_7 Ao_8 VAD_8 Ao_9 VAD_9 Ao_10 VAD_10 Ao_11 VAD_11 Ao_12 VAD_12 Ao_13 VAD_13 Ao_14 VAD_14 Ao_15 VAD_15 Ao_16 VAD_16 Ao_17 VAD_17 Ao_18 VAD_18 Ao_19 VAD_19 Ao_20 VAD_20 Ao_21 VAD_21 Ao_22 VAD_22 Ao_23 VAD_23 Ao_24 VAD_24 Ao_25 VAD_25 Ao_26 VAD_26 Ao_27 VAD_27 Ao_28 VAD_28 Ao_29 VAD_29 Ao_30 VAD_30 Ao_31 VAD_31 Ao_32 VAD_32 Ao_33 VAD_33 Ao_34 VAD_34 Ao_35 VAD_35 Ao_36 VAD_36 Ao_37 VAD_37 Ao_38 VAD_38 Ao_39 VAD_39 Ao_40 VAD_40 Ao_41 VAD_41 Ao_42 VAD_42 Ao_43 VAD_43 Ao_44 VAD_44 Ao_45 VAD_45 Ao_46 VAD_46 Ao_47 VAD_47 Ao_48 VAD_48 Ao_49 VAD_49 Ao_50 VAD_50 Ao_51 VAD_51 Ao_52 VAD_52 Ao_53 VAD_53 Ao_54 VAD_54 Ao_55 VAD_55 Ao_56 VAD_56 Ao_57 VAD_57 Ao_58 VAD_58 Ao_59 VAD_59 Ao_60 VAD_60
0.0 0.0 106.8233 0.0 167.9354 0.0 108.6947 0.0 114.4267 0.0 147.1711 0.0 86.959 0.0 125.8428 0.0 140.9119 0.0 161.1895 0.0 146.953 0.0 100.8133 0.0 98.5304 0.0 115.458 0.0 110.4541 0.0 151.2523 0.0 139.8399 0.0 128.4253 0.0 164.1428 0.0 122.9445 0.0 171.092 0.0 95.6589 0.0 99.0125 0.0 122.0953 0.0 104.1597 0.0 138.9639 0.0 142.9324 0.0 134.823 0.0 161.8814 0.0 128.4956 0.0 174.9771 0.0 111.9778 0.0 167.4533 0.0 102.0575 0.0 120.7211 0.0 159.4595 0.0 83.8665 0.0 119.4451 0.0 143.1733 0.0 155.6384 0.0 143.0678 0.0 100.8133 0.0 98.5304 0.0 115.458 0.0 110.4541 0.0 151.2523 0.0 139.8399 0.0 128.4253 0.0 164.1428 0.0 122.9445 0.0 171.092 0.0 100.8133 0.0 98.5304 0.0 115.458 0.0 110.4541 0.0 151.2523 0.0 139.8399 0.0 128.4253 0.0 164.1428 0.0 122.9445 0.0 171.092
0.0043 -31.1668 107.7231 -50.5022 168.8363 -31.7502 109.5151 -33.5895 115.3459 -43.9414 148.1252 -24.8884 87.8892 -37.2095 126.7255 -41.9001 141.7511 -48.3497 162.0544 -43.8642 147.7899 -29.1835 101.6631 -28.5464 99.4359 -33.9129 116.3428 -32.3155 111.3123 -45.1911 152.0872 -41.6597 140.8 -38.0472 129.37 -49.2654 164.96 -36.2949 123.8632 -51.4813 171.9666 -27.6378 96.5587 -28.698 99.9133 -35.9978 122.9157 -30.2577 105.0789 -41.3794 139.918 -42.4854 143.8625 -39.9162 135.7057 -48.5605 162.7205 -38.0442 129.3605 -52.6958 175.814 -32.801 112.8275 -50.3375 168.3588 -29.6602 102.9423 -35.5694 121.5792 -47.7863 160.2944 -23.9201 84.8267 -35.1983 120.3898 -42.5279 143.9905 -46.5968 156.5571 -42.4846 143.9424 -29.1835 101.6631 -28.5575 99.4359 -33.9129 116.3428 -32.3145 111.3123 -45.1605 152.0872 -41.6597 140.8 -38.0472 129.37 -49.2654 164.96 -36.2949 123.8632 -51.51 171.9666 -29.1835 101.6631 -28.5487 99.4359 -33.9129 116.3428 -32.3149 111.3123 -45.1911 152.0872 -41.6597 140.8 -38.0472 129.37 -49.2654 164.96 -36.2949 123.8632 -51.4828 171.9666
0.0086 -23.9263 104.6864 -41.9868 163.637 -24.9001 106.6809 -26.3072 111.9611 -35.6416 143.3859 -18.5606 85.474 -30.0049 123.0729 -34.1952 137.8084 -40.0906 157.2964 -35.5468 143.6392 -22.1588 99.0188 -21.4594 96.6688 -27.1678 113.0479 -25.4856 108.2863 -37.5413 147.8238 -34.0699 136.2962 -30.9117 125.3645 -40.8821 160.3716 -28.9808 120.1663 -43.0131 166.8072 -21.1115 93.9127 -21.899 97.1445 -29.0163 119.6467 -23.4802 102.0973 -33.0922 135.4761 -35.1458 139.4302 -32.4555 131.7802 -40.3623 158.0821 -30.7954 125.6939 -44.2827 170.7506 -25.4608 109.7795 -41.8198 163.1496 -22.93 100.1204 -28.5242 118.2069 -39.8008 155.7565 -17.3982 82.4483 -28.292 116.7212 -34.8087 140.0926 -38.3428 151.7027 -35.202 139.7755 -22.0833 99.0188 -21.5672 96.6675 -26.7516 113.0479 -25.4867 108.2864 -37.3431 147.8268 -33.7429 136.2962 -30.8653 125.3645 -40.9628 160.3716 -29.059 120.1663 -42.996 166.8039 -22.1506 99.0188 -21.7204 96.6685 -26.7168 113.0479 -25.3672 108.2864 -37.5265 147.8238 -33.7131 136.2962 -30.8601 125.3645 -40.861 160.3716 -28.9794 120.1663 -42.7387 166.807
0.0129 -15.2165 105.2384 -28.403 164.0619 -15.6985 107.1762 -16.9282 112.5093 -23.9805 143.8951 -11.1476 86.0701 -19.3307 123.5756 -22.4683 138.2541 -26.986 157.7209 -23.9398 144.0682 -13.9037 99.5414 -13.5518 97.2485 -17.121 113.5622 -16.1129 108.7957 -24.7788 148.2436 -22.2627 136.8123 -19.7646 125.8895 -27.6128 160.766 -18.6796 120.7063 -29.1815 167.2146 -12.9087 94.4817 -13.7846 97.7221 -18.5531 120.1093 -14.7133 102.6564 -22.0595 135.9966 -22.8404 139.9258 -21.1781 132.2508 -27.1649 158.4895 -19.9066 126.1881 -30.0664 171.1276 -16.2981 110.2847 -28.3185 163.5948 -14.2221 100.6615 -18.2873 118.698 -26.5789 156.1607 -10.4686 83.08 -17.8481 117.2641 -23.0453 140.5214 -25.6681 152.1795 -23.0204 140.238 -13.9704 99.5459 -13.4416 97.241 -17.0903 113.5682 -16.1158 108.7957 -24.9434 148.2526 -22.2584 136.8124 -19.8693 125.8999 -27.668 160.7542 -18.6229 120.7013 -29.2213 167.214 -13.9028 99.5419 -13.5904 97.2319 -17.0668 113.5703 -16.0952 108.8028 -24.7361 148.2444 -22.2932 136.8143 -19.7792 125.8929 -27.6398 160.7665 -18.6795 120.7064 -29.0788 167.2144
0.0171 -9.759 105.6139 -16.5193 164.2555 -9.9115 107.5132 -10.8531 112.8641 -14.9543 144.1528 -6.5566 86.5255 -12.2118 123.8858 -13.4928 138.5124 -16.0618 157.9182 -14.2483 144.3012 -8.6212 99.917 -8.8412 97.6386 -10.6711 113.9086 -10.1854 109.1424 -14.7281 148.4693 -14.0303 137.1095 -12.4402 126.2278 -16.2254 160.9323 -12.1986 121.0362 -17.174 167.3656 -7.986 94.8964 -8.7374 98.1092 -11.259 120.4126 -9.2265 103.0459 -14.0337 136.3004 -14.0991 140.2048 -12.7032 132.5461 -15.8969 158.6744 -12.691 126.4815 -17.5964 171.2729 -10.3335 110.6317 -17.1074 163.7664 -8.8616 101.0491 -11.3274 119.0147 -15.4714 156.3574 -6.2915 83.5566 -11.2306 117.6312 -13.8141 140.7584 -15.6241 152.4053 -13.865 140.4861 -8.7615 99.9158 -8.6212 97.6456 -10.7567 113.914 -10.1864 109.1421 -14.8855 148.4647 -13.8459 137.1173 -12.7388 126.2259 -15.9317 160.9327 -12.0224 121.0385 -17.1875 167.375 -8.6442 99.9174 -8.5151 97.6321 -10.7737 113.9173 -10.1545 109.147 -14.5832 148.4698 -14.1244 137.1147 -12.3853 126.2302 -16.3583 160.9325 -12.2001 121.0362 -17.0525 167.3692
0.0214 -4.0488 106.116 -7.7955 164.6541 -3.9969 107.9632 -4.6486 113.3607 -6.9745 144.6098 -2.1306 87.076 -5.3102 124.3446 -6.2117 138.9182 -7.437 158.2967 -6.4751 144.6936 -3.4416 100.398 -3.4487 98.1473 -4.5592 114.3896 -4.0967 109.6142 -6.6962 148.8559 -6.4491 137.5957 -5.4951 126.7367 -7.5512 161.2787 -5.3483 121.5189 -8.0202 167.7321 -3.0434 95.4185 -3.5154 98.615 -4.8395 120.8442 -3.695 103.5632 -6.4332 136.7905 -6.4799 140.663 -5.7546 132.9999 -7.4423 159.0354 -5.577 126.9201 -8.1694 171.6126 -4.2931 111.1 -7.9838 164.145 -3.4913 101.5516 -4.8144 119.4688 -7.2009 156.7286 -1.893 84.1333 -4.8881 118.1541 -6.2057 141.1418 -7.4048 152.8193 -6.3348 140.9024 -3.4694 100.3945 -3.3826 98.165 -4.5628 114.3944 -4.0964 109.6139 -6.7767 148.8391 -6.4252 137.6112 -5.6373 126.7235 -7.4646 161.2883 -5.3091 121.5279 -8.0329 167.7411 -3.4202 100.3984 -3.2401 98.1489 -4.6486 114.3969 -4.2653 109.615 -6.733 148.8538 -6.4276 137.6069 -5.5597 126.7348 -7.5847 161.2756 -5.3497 121.5189 -7.967 167.7359
0.0257 -0.2646 106.7166 -2.4264 165.3008 -0.235 108.5195 -0.6084 113.9868 -1.9394 145.2764 0.8051 87.6963 -1.0001 124.9542 -1.5524 139.4932 -2.1985 158.9058 -1.6359 145.2859 0.1085 100.9627 0.0731 98.7506 -0.5027 114.9936 -0.2524 110.2023 -1.8388 149.4415 -1.6121 138.2612 -1.1204 127.3866 -2.2906 161.8601 -0.9554 122.1421 -2.6586 168.3641 0.2876 96.0154 0.1045 99.2157 -0.7186 121.4098 0.0063 104.1866 -1.6098 137.4462 -1.6574 141.3083 -1.2749 133.6108 -2.2177 159.6316 -1.1041 127.5125 -2.7476 172.2201 -0.4226 111.6721 -2.6055 164.7879 0.0514 102.1495 -0.7272 120.0635 -2.1508 157.3204 0.9764 84.7715 -0.7651 118.7984 -1.5182 141.7117 -2.1859 153.4618 -1.6584 141.513 0.1178 100.9609 0.1259 98.7646 -0.5258 114.9988 -0.2805 110.2021 -1.9183 149.429 -1.597 138.2746 -1.1231 127.3761 -2.292 161.8685 -0.9452 122.1494 -2.5744 168.3714 0.0652 100.9631 0.2552 98.7635 -0.5911 114.9966 -0.321 110.1988 -1.8139 149.4386 -1.6015 138.2731 -1.1772 127.3815 -2.3352 161.8537 -0.9562 122.142 -2.6308 168.3706
0.03 1.3536 107.4181 0.2258 166.1139 1.3581 109.1675 1.0083 114.7171 0.0443 146.0854 2.1027 88.3922 0.8836 125.6791 0.7466 140.1996 0.2395 159.6739 0.5031 146.0123 1.651 101.6148 1.3063 99.4419 1.271 115.7019 1.2291 110.8837 0.5499 150.1661 0.6241 139.0698 1.064 128.1602 0.1534 162.5945 0.837 122.8877 -0.3581 169.1532 1.7819 96.6975 1.2809 99.9042 1.1357 122.0798 1.3839 104.9021 0.6901 138.2439 0.5905 142.0957 0.945 134.3452 0.1896 160.3811 0.7581 128.2262 -0.4137 172.9822 1.3808 112.3424 -0.2263 165.6002 1.6072 102.8352 1.0011 120.7608 0.3715 158.0599 2.0893 85.4856 1.2729 119.5559 0.5748 142.4105 0.188 154.2651 0.1771 142.2488 1.5432 101.6159 1.6312 99.4559 1.1876 115.7076 1.2282 110.8827 0.0558 150.1488 0.7364 139.0802 0.8058 128.1549 0.3657 162.5991 0.95 122.8913 0.0447 169.1707 1.6498 101.6149 1.4725 99.4604 1.2236 115.7019 1.1534 110.8771 0.5295 150.1648 0.664 139.0812 1.039 128.153 0.1123 162.5865 0.8361 122.8876 -0.3153 169.1598
0.0343 0.8947 108.0953 0.6441 166.9488 0.8226 109.7905 0.3191 115.4103 -0.6492 146.8578 1.8696 89.0659 0.4156 126.3818 0.9629 140.9175 0.3303 160.4507 0.2969 146.731 1.4788 102.2535 0.16 100.0791 1.1327 116.3969 0.662 111.5332 0.7125 150.9022 0.6602 139.8783 1.3935 128.9443 0.128 163.3315 0.2674 123.6065 -0.8025 169.9203 1.5674 97.362 0.1415 100.5392 1.0414 122.7391 0.7741 105.5807 0.8309 139.048 0.6515 142.8841 1.3155 135.0925 0.1266 161.1321 0.3138 128.9162 -0.7725 173.7243 1.3037 113.0053 -0.7446 166.3946 1.4069 103.5008 0.5305 121.4316 0.6444 158.8139 1.5233 86.1617 1.4886 120.3186 0.468 143.1027 -0.124 155.0596 -0.4177 142.9482 1.0199 102.2441 1.2303 100.1228 0.8314 116.3961 0.6498 111.5306 -0.5903 150.8384 1.0293 139.8981 0.4788 128.915 0.8136 163.3544 0.7368 123.6193 -0.0895 169.9725 1.4751 102.2526 0.7326 100.1145 0.9867 116.3938 0.4739 111.519 0.7424 150.9018 0.7122 139.8906 1.3245 128.9352 -0.0263 163.3204 0.2592 123.6063 -0.6552 169.9305
0.0386 -1.1478 108.6051 -0.5517 167.6711 -1.242 110.2546 -1.9649 115.8961 -3.0305 147.3908 0.3942 89.6141 -1.7059 126.9055 -0.453 141.5271 -1.4413 161.086 -1.5963 147.2946 -0.1462 102.7707 -2.5854 100.4709 -0.5143 116.9576 -1.4014 112.009 -0.6886 151.5234 -0.9962 140.5377 0.3054 129.627 -1.7312 163.9233 -2.0577 124.1225 -3.0143 170.4792 -0.1056 97.8969 -2.593 100.9299 -0.5827 123.2749 -1.3452 106.0712 -0.6475 139.7207 -1.0102 143.5286 0.2529 135.7457 -1.7103 161.7338 -2.0801 129.4175 -3.0539 174.2681 -0.2496 113.5503 -3.1857 166.9674 -0.4256 104.0273 -1.4915 121.932 -0.7507 159.4548 -0.4119 86.6704 0.372 120.978 -1.5855 143.6443 -2.3433 155.6618 -2.8061 143.4324 -1.0454 102.713 -0.8039 100.6318 -1.0273 116.9283 -1.4207 112.0041 -2.9333 151.3222 -0.2662 140.5988 -1.5053 129.4959 -0.3578 164.0143 -1.1397 124.1909 -2.0334 170.6088 -0.1919 102.7693 -1.4161 100.5748 -0.7999 116.9417 -1.8906 111.9661 -0.7521 151.5217 -0.8975 140.5552 0.1319 129.6111 -2.0754 163.8971 -2.0599 124.1216 -2.7302 170.5054
