%eval_id interface          PUMPB          PUMPC             HR             EF          DENSI          VISCO          PUMPA            LAP           AORP            AOC           AORS         AVGFAO          MXFAO           FFAO       AVGFLVAD        MXFLVAD          AVGFM           MXFM           QRAT 
1        INTERFACE -0.001133597815    219.5294135    67.88004979   0.2329321623            1.1         0.0372              0          10000           1700         0.0012            100    6.193846976      138.28256    14.20866403    101.8537987      145.81451   -108.1360571     -456.64264   0.9426748548 
2        INTERFACE -0.001134888154    286.8689193    66.83937536    0.200950057            1.1         0.0372              0          10000           1700         0.0012            100      1.1339148      32.032096     5.29621793    157.9236805      182.70753   -159.2242817     -477.19454   0.9928710427 
3        INTERFACE -0.001033590701    212.5873412    68.72876523   0.2218950737            1.1         0.0372              0          10000           1700         0.0012            100    5.646610139        128.818    12.83071423    101.8905448      142.00913   -107.6032993     -444.31409   0.9474915424 
4        INTERFACE -0.001158041802    230.0931233     70.4987605   0.2180582352            1.1         0.0372              0          10000           1700         0.0012            100    5.016124857      123.49844    11.72125776    103.6832121      148.35158   -108.8374709     -450.94198   0.9538532157 
5        INTERFACE -0.00120203488     270.071324    71.53107353   0.2250177025            1.1         0.0372              0          10000           1700         0.0012            100    4.022564318       108.3382     9.64098218    128.8840848      175.65891   -133.0365537     -506.63113   0.9697339122 
6        INTERFACE -0.00117185377    201.1217486    65.89959236   0.2086361411            1.1         0.0372              0          10000           1700         0.0012            100    5.742417456      119.16356    12.77752395    87.76638059      121.08921   -93.53574657     -386.02369    0.938589549 
7        INTERFACE -0.001112052823    238.5118243     69.9522604   0.2132117012            1.1         0.0372              0          10000           1700         0.0012            100    4.503281773      113.25234    10.51746942     114.556156      154.15513   -119.0715726     -454.89823   0.9621761882 
8        INTERFACE -0.001057218326    250.1527374    65.28714825   0.2410249126            1.1         0.0372              0          10000           1700         0.0012            100    5.230940388      120.14726    11.84029051    136.2346939      170.05366   -141.5541074     -501.90966    0.963023243 
9        INTERFACE -0.001089625448    275.3747379    67.41431549   0.2340716465            1.1         0.0372              0          10000           1700         0.0012            100    2.687136152      66.058821    7.762095664    150.1634908      191.41319   -153.0207804     -527.88465   0.9824198552 
10       INTERFACE -0.001054396962    256.5439828    69.71151044   0.2064214329            1.1         0.0372              0          10000           1700         0.0012            100     1.85973881      55.628554    6.998997766    132.4994805      172.85783   -134.4642169     -473.37558   0.9861584578 
11       INTERFACE -0.00107059874    207.2485546    65.76685097   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100     6.20322582      131.76765    13.78945458    100.7028657      140.25696    -106.983996     -440.08607   0.9419750013 
12       INTERFACE -0.001140781027    211.0536969    70.62496526   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    6.362861295      149.51789    14.25543337    92.67009315      152.96236   -99.22481167     -469.86989   0.9357500609 
13       INTERFACE -0.001114712753    227.3279445    67.41448758   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    4.899292705       107.6527    10.75023385    109.8313343      143.76321   -114.7584796     -426.41073   0.9572974293 
14       INTERFACE -0.001081110036    218.7994599    70.42305001   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    4.570467654      107.96432    10.52509902    99.22183921      136.95098   -103.9344186     -414.02797   0.9559652561 
15       INTERFACE -0.00105184352    261.0434631    66.45906957   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100    2.102211934         52.362    6.618715868    143.4972487      181.68127   -145.7258599     -493.42334   0.9855616777 
16       INTERFACE -0.001209650694    262.6924503    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    3.471068527      67.923698    8.049546168     131.450501      171.66466    -135.043204     -469.14505    0.974273435 
17       INTERFACE -0.001190247328    248.3900759    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    3.554301614       60.03505    6.719182394     126.138391      158.27157    -129.844294     -430.41903   0.9725944343 
18       INTERFACE -0.001029578831    273.2191619    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    2.181788585      58.856871    7.366040361     150.105837      190.48137    -152.428509     -524.32493   0.9856732379 
19       INTERFACE -0.001157472244     239.411432    69.57500234   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    5.758684071      134.41341    12.82875955    113.3167489      160.43546    -119.194658     -485.37147   0.9516383529 
20       INTERFACE -0.001101881858    287.3705272    71.78865714   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100    2.345822509      52.162639    10.63180434    148.6445422      192.53898   -151.2712649     -528.48709   0.9844637602 
21       INTERFACE -0.001133597815    207.2485546    65.76685097   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100     6.23708871      135.23549    14.42753787    95.93323602      136.62114   -102.2610348     -432.58625   0.9389540091 
22       INTERFACE -0.001134888154    211.0536969    70.62496526   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    6.425418967      149.99067    14.31196345    92.98399662       152.7393   -99.59736605     -470.40616   0.9353640807 
23       INTERFACE -0.001033590701    227.3279445    67.41448758   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    4.689222416      104.74186    10.28610727    115.0692796       147.3547   -119.7847809     -433.82022   0.9608443464 
24       INTERFACE -0.001158041802    218.7994599    70.42305001   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    4.793145746      109.47423    10.75305387     94.9166168      134.28555   -99.84413492     -406.43578   0.9519290226 
25       INTERFACE -0.00120203488    261.0434631    66.45906957   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100    4.974740545      97.409757    9.855868434    132.8204734      167.42922   -137.8592646       -473.134    0.963897581 
26       INTERFACE -0.00117185377    262.6924503    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    2.496317479      55.702545    6.919931005    134.5460865      177.08104   -137.1440583     -474.73815   0.9817843426 
27       INTERFACE -0.001112052823    248.3900759    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    2.400603248      50.030477    5.528782155    131.4735605      163.17471   -133.9831893     -438.47768   0.9820682111 
28       INTERFACE -0.001057218326    273.2191619    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    2.297520976      60.230203    7.523195986    148.3328159      189.69187   -150.7733073     -521.80494   0.9847472891 
