#Time Ao_1 VAD_1 Ao_1 VAD_1 Ao_1 VAD_1 Ao_2 VAD_2 Ao_3 VAD_3 Ao_4 VAD_4 Ao_5 VAD_5 Ao_6 VAD_6 Ao_7 VAD_7 Ao_8 VAD_8 Ao_9 VAD_9 Ao_10 VAD_10 Ao_11 VAD_11 Ao_12 VAD_12 Ao_13 VAD_13 Ao_14 VAD_14 Ao_15 VAD_15 Ao_16 VAD_16 Ao_17 VAD_17 Ao_18 VAD_18 Ao_19 VAD_19 Ao_20 VAD_20 Ao_21 VAD_21 Ao_22 VAD_22 Ao_23 VAD_23 Ao_24 VAD_24 Ao_25 VAD_25 Ao_26 VAD_26 Ao_27 VAD_27 Ao_28 VAD_28 Ao_29 VAD_29 Ao_30 VAD_30 Ao_31 VAD_31 Ao_32 VAD_32 Ao_33 VAD_33 Ao_34 VAD_34 Ao_35 VAD_35 Ao_36 VAD_36 Ao_37 VAD_37 Ao_38 VAD_38 Ao_39 VAD_39 Ao_40 VAD_40 Ao_41 VAD_41 Ao_42 VAD_42 Ao_43 VAD_43 Ao_44 VAD_44 Ao_45 VAD_45 Ao_46 VAD_46 Ao_47 VAD_47 Ao_48 VAD_48 Ao_49 VAD_49 Ao_50 VAD_50 Ao_51 VAD_51 Ao_52 VAD_52 Ao_53 VAD_53 Ao_54 VAD_54 Ao_55 VAD_55 Ao_56 VAD_56 Ao_57 VAD_57 Ao_58 VAD_58 Ao_59 VAD_59 Ao_60 VAD_60
0.0 0.0 24.7623 0.0 24.7623 0.0 24.7623 0.0 45.6801 0.0 25.3867 0.0 27.3687 0.0 38.5836 0.0 17.9693 0.0 31.2689 0.0 36.4179 0.0 43.3638 0.0 38.4852 0.0 22.6951 0.0 21.9249 0.0 27.7148 0.0 25.9966 0.0 39.9564 0.0 36.0755 0.0 32.1654 0.0 44.365 0.0 30.2841 0.0 46.7552 0.0 20.9409 0.0 22.089 0.0 29.9735 0.0 23.8545 0.0 35.7745 0.0 37.1279 0.0 34.3426 0.0 43.5954 0.0 32.1733 0.0 48.0774 0.0 26.5164 0.0 45.516 0.0 23.128 0.0 29.5108 0.0 42.7655 0.0 16.9169 0.0 29.0916 0.0 37.1875 0.0 41.4747 0.0 37.163 0.0 22.6951 0.0 21.9249 0.0 27.7148 0.0 25.9966 0.0 39.9564 0.0 36.0755 0.0 32.1654 0.0 44.365 0.0 30.2841 0.0 46.7552 0.0 22.6951 0.0 21.9249 0.0 27.7148 0.0 25.9966 0.0 39.9564 0.0 36.0755 0.0 32.1654 0.0 44.365 0.0 30.2841 0.0 46.7552
0.0043 -5.2083 25.7973 -5.2083 25.7973 -5.2083 25.7973 -11.8235 46.7155 -5.3976 26.3948 -6.0278 28.4104 -9.5705 39.6372 -3.0593 19.0146 -7.2682 32.2981 -8.8888 37.4323 -11.0889 44.3869 -9.5519 39.4989 -4.5478 23.7131 -4.3001 22.9619 -6.1414 28.7447 -5.5887 27.0175 -10.0123 40.9693 -8.794 37.1311 -7.5594 33.2157 -11.3985 45.3719 -6.9606 31.3256 -12.133 47.7817 -3.9978 21.976 -4.3515 23.1244 -6.8514 30.9815 -4.9165 24.8962 -8.6803 36.828 -9.1193 38.1733 -8.2369 35.3719 -11.1579 44.6098 -7.5533 33.1964 -12.5257 49.091 -5.7581 27.5345 -11.7614 46.553 -4.6885 24.1579 -6.7028 30.5317 -10.8976 43.7785 -2.7288 17.9724 -6.5852 30.142 -9.1259 38.1944 -10.4982 42.5162 -9.0978 38.1895 -4.5478 23.7131 -4.311 22.9619 -6.1414 28.7447 -5.5876 27.0175 -9.9861 40.9693 -8.794 37.1311 -7.5594 33.2157 -11.3985 45.3719 -6.9606 31.3256 -12.1592 47.7817 -4.5478 23.7131 -4.3022 22.9619 -6.1414 28.7447 -5.588 27.0175 -10.0123 40.9693 -8.794 37.1311 -7.5594 33.2157 -11.3985 45.3719 -6.9606 31.3256 -12.1354 47.7817
0.0086 0.2313 25.6475 0.2313 25.6475 0.2313 25.6475 -6.2199 45.7183 -0.0194 26.225 -0.5815 28.1533 -3.932 38.9117 2.0894 19.1432 -1.7719 31.8848 -3.1771 36.8225 -5.2072 43.4932 -4.0213 38.8028 0.8068 23.6495 1.193 22.9289 -0.8317 28.4759 -0.3014 26.8213 -4.4321 40.2174 -3.2498 36.5088 -2.2928 32.756 -5.6852 44.4543 -1.3705 30.9472 -6.2726 46.7511 1.3106 21.982 1.1518 23.0848 -1.4922 30.6292 0.3607 24.7833 -3.2056 36.2272 -3.5805 37.5171 -2.9644 34.8366 -5.468 43.7147 -1.9652 32.7493 -6.8166 48.0321 -0.3831 27.3174 -5.9158 45.5621 0.5554 24.0755 -1.3701 30.1937 -5.2538 42.9162 2.5061 18.1456 -1.3493 29.8096 -3.502 37.5616 -4.7355 41.6824 -3.5445 37.5474 0.8551 23.6495 1.0834 22.9274 -0.7902 28.4759 -0.3025 26.8215 -4.3762 40.2214 -3.31 36.5088 -2.1582 32.756 -5.8748 44.4543 -1.4486 30.9472 -6.4561 46.7484 0.8149 23.6495 0.9329 22.9286 -0.7554 28.4759 -0.183 26.8214 -4.4173 40.2174 -3.2802 36.5088 -2.2526 32.756 -5.4443 44.4543 -1.369 30.9472 -6.4123 46.7519
0.0129 1.848 26.4661 1.848 26.4661 1.848 26.4661 -2.5298 46.4755 1.7046 27.0185 1.2551 28.969 -1.1445 39.7135 3.3536 19.9787 0.4539 32.6812 -0.4822 37.5947 -2.0229 44.2596 -1.0578 39.5688 2.3737 24.4523 2.3604 23.7635 1.2371 29.2732 1.5254 27.6156 -1.2801 40.9786 -0.5179 37.3097 0.332 33.5525 -2.316 45.2089 0.6692 31.7637 -2.9008 47.5081 2.6988 22.8022 2.3048 23.9175 0.7718 31.4045 1.9906 25.5984 -0.4741 37.0286 -0.7225 38.3084 -0.093 35.6121 -2.0944 44.476 0.2705 33.5481 -3.2898 48.778 1.5375 28.1128 -2.6355 46.3466 2.2201 24.8823 0.8101 30.9806 -1.9905 43.671 3.5164 18.9975 0.9677 30.6127 -0.784 38.3302 -1.6984 42.4755 -0.8685 38.3262 2.3264 24.4581 2.4875 23.7552 1.2481 29.2762 1.5225 27.6156 -1.4545 40.9881 -0.4969 37.3053 0.1854 33.5632 -2.2255 45.2014 0.7153 31.758 -2.8407 47.5108 2.3747 24.4529 2.3568 23.7443 1.2418 29.2787 1.5421 27.6241 -1.2993 40.9796 -0.4974 37.3074 0.3429 33.5563 -2.2865 45.2132 0.6446 31.7638 -2.9098 47.5063
0.0171 3.2806 27.1496 3.2806 27.1496 3.2806 27.1496 0.035 47.1128 3.2378 27.6826 2.8436 29.6422 0.9097 40.3536 4.6332 20.7036 2.2556 33.3395 1.4786 38.2414 0.2659 44.8847 1.0926 40.1997 3.7628 25.141 3.5777 24.4405 2.9695 29.9542 3.1529 28.2873 0.9399 41.6134 1.5335 37.9793 2.379 34.2442 0.0601 45.8184 2.3164 32.4267 -0.3394 48.1136 4.0463 23.5073 3.5483 24.5934 2.5559 32.0653 3.5145 26.2893 1.589 37.7008 1.3673 38.9682 1.9648 36.2825 0.1719 45.0906 2.021 34.194 -0.6233 49.3718 3.1561 28.7907 -0.3192 46.9547 3.7332 25.5762 2.6026 31.6418 0.4777 44.2996 4.68 19.7236 2.8771 31.3133 1.2663 38.96 0.4856 43.1056 1.1854 38.9577 3.6425 25.1367 3.7855 24.4501 2.9175 29.9516 3.1684 28.2871 0.7124 41.6017 1.6293 37.9825 2.1451 34.2359 0.2264 45.8243 2.4281 32.4314 -0.3446 48.1227 3.7649 25.1412 3.7831 24.4367 2.8831 29.9558 3.0861 28.2886 0.9177 41.6144 1.56 37.978 2.3049 34.2448 -0.0327 45.8185 2.2924 32.4269 -0.307 48.1145
0.0214 5.3507 27.7772 5.3507 27.7772 5.3507 27.7772 2.4283 47.7614 5.3334 28.2956 4.9743 30.2728 3.194 40.9881 6.4723 21.3564 4.4708 33.9662 3.641 38.8651 2.5234 45.508 3.3694 40.8214 5.7241 25.7682 5.6202 25.0537 5.0644 30.5928 5.3094 28.9163 3.1777 42.2392 3.7234 38.63 4.4813 34.9057 2.3851 46.4308 4.4918 33.0501 2.099 48.737 5.9551 24.1438 5.6002 25.2057 4.7486 32.6923 5.6331 26.9308 3.8025 38.3511 3.5871 39.6126 4.1202 36.9326 2.5581 45.7075 4.2296 34.8066 1.8844 49.9879 5.1854 29.4179 2.1246 47.5699 5.7341 26.2142 4.8036 32.271 2.7691 44.9257 6.5294 20.372 4.9723 31.9752 3.481 39.5717 2.7508 43.7291 3.4812 39.5814 5.6535 25.7547 5.7221 25.078 5.0475 30.5851 5.323 28.9159 3.0149 42.214 3.8015 38.6408 4.3817 34.8804 2.5252 46.4487 4.5195 33.0648 2.1297 48.7478 5.7126 25.7673 5.8892 25.0744 5.0095 30.5886 5.2096 28.9063 3.1473 42.2395 3.7471 38.6311 4.4431 34.9021 2.3757 46.4236 4.4893 33.0507 2.1507 48.7429
0.0257 7.6755 28.411 7.6755 28.411 7.6755 28.411 4.2933 48.4384 7.6527 28.9182 7.2787 30.9217 5.0938 41.6627 8.6753 21.9904 6.7359 34.6148 5.767 39.5007 4.4435 46.1631 5.4397 41.4733 8.005 26.3865 7.9122 25.685 7.3896 31.2341 7.6523 29.555 5.206 42.8863 5.8908 39.3 6.711 35.5672 4.2871 47.0799 6.7462 33.6988 3.7993 49.4085 8.2385 24.7693 7.895 25.8365 7.0386 33.3245 7.9134 27.5793 5.8918 39.0157 5.702 40.2779 6.3753 37.5856 4.433 46.3611 6.4427 35.447 3.5991 50.6515 7.4732 30.0423 3.9026 48.2379 8.0159 26.8482 7.0871 32.9158 4.6801 45.5769 8.7552 21.011 7.2272 32.6315 5.6151 40.2102 4.6621 44.3951 5.4506 40.2394 7.979 26.3755 8.0276 25.7042 7.3742 31.2281 7.6367 29.5549 4.8878 42.8656 5.9454 39.3096 6.6306 35.5459 4.4199 47.097 6.7932 33.71 3.9372 49.4172 7.9868 26.385 8.1586 25.7166 7.3186 31.2269 7.5237 29.5409 5.1609 42.8856 5.935 39.3026 6.6802 35.5613 4.194 47.0688 6.728 33.6994 3.8367 49.4163
0.03 9.1348 29.0417 9.1348 29.0417 9.1348 29.0417 5.5256 49.1328 9.0651 29.536 8.4221 31.5653 5.7865 42.3428 10.3998 22.6076 7.9506 35.2655 7.2827 40.1479 5.5379 46.8432 6.6375 42.1364 9.6932 26.9973 8.8949 26.3089 8.9722 31.8696 8.9352 30.1831 6.5411 43.5467 7.2013 39.9784 8.4606 36.2246 5.3406 47.7546 7.9292 34.3534 4.2741 50.0948 9.9808 25.3853 8.8673 26.4597 8.608 33.9533 9.1385 28.2148 7.3701 39.6875 6.9756 40.9526 8.089 38.2367 5.4372 47.0384 7.5891 36.0959 4.1067 51.3326 9.1495 30.6629 4.5377 48.9345 9.6085 27.4725 8.3381 33.5539 5.9261 46.2457 10.2475 21.6342 8.9973 33.2798 6.7502 40.8624 5.5955 45.0853 6.0744 40.8958 9.4354 26.9905 9.5911 26.3254 8.813 31.8665 8.9079 30.1826 5.5064 43.5238 7.4863 39.9836 7.8943 36.2126 5.7698 47.7639 8.2402 34.3596 4.8572 50.1148 9.7018 26.9959 9.4134 26.3425 8.8342 31.8623 8.6836 30.1684 6.5003 43.5456 7.3063 39.9811 8.3847 36.2188 5.1359 47.743 7.9288 34.354 4.4229 50.1032
0.0343 8.1937 29.5885 8.1937 29.5885 8.1937 29.5885 5.4029 49.7601 8.0402 30.0694 6.8159 32.1071 3.6003 42.9039 10.5029 23.1507 6.7773 35.8261 7.2212 40.7316 4.9033 47.4479 5.6823 42.7159 9.582 27.5373 6.678 26.8167 8.5553 32.4306 7.7127 30.7189 6.329 44.1392 6.7373 40.5797 8.746 36.8195 4.4632 48.35 6.4815 34.9132 2.4147 50.6692 9.8532 25.929 6.6615 26.9682 8.2182 34.5096 7.9583 28.756 7.1687 40.2883 6.5324 41.5516 8.3842 38.8271 4.5713 47.6357 6.1697 36.6526 2.3016 51.9026 8.9827 31.215 2.6932 49.5237 9.2138 28.0201 7.1634 34.1012 5.766 46.8477 9.6574 22.1734 9.2885 33.8641 5.8868 41.4349 4.3539 45.6841 4.0365 41.4385 8.5185 27.5242 8.9002 26.8684 8.0098 32.4239 7.6565 30.717 3.5168 44.0707 7.5185 40.59 6.8389 36.7909 5.8557 48.3723 7.5101 34.9304 3.8771 50.7268 9.543 27.5363 8.0344 26.8686 8.2159 32.4214 7.0922 30.6981 6.2875 44.1375 6.873 40.5833 8.5754 36.8129 4.118 48.3352 6.4803 34.9142 2.7477 50.6823
0.0386 3.9048 29.9184 3.9048 29.9184 3.9048 29.9184 3.1794 50.2203 3.6367 30.3847 1.6771 32.38 -1.6679 43.1481 7.9041 23.5349 2.2131 36.1483 4.5354 41.1573 1.533 47.8422 1.7452 43.0694 6.5175 27.9151 0.342 27.0185 5.2859 32.814 3.2488 31.0239 3.5468 44.5601 3.4128 40.9812 6.8188 37.2814 0.7788 48.7209 1.3734 35.2085 -2.2153 50.9351 6.7668 26.3054 0.3299 27.1704 4.9981 34.8917 3.4534 29.0528 4.2574 40.7115 3.2433 41.9517 6.4928 39.2859 0.873 48.0073 1.133 36.9501 -2.2777 52.1738 5.9875 31.6081 -2.4019 49.7941 5.8833 28.3858 2.8098 34.4194 3.0766 47.2761 5.894 22.4935 7.2913 34.318 1.8728 41.7849 -0.2494 46.0123 -1.1324 41.6806 4.2249 27.8394 4.8947 27.2053 4.0957 32.7742 3.1523 31.0183 -1.6327 44.3165 5.1104 41.0404 2.6428 37.1357 3.7134 48.8291 3.6284 35.2951 0.0132 51.0934 6.4467 27.9132 3.3236 27.1399 4.6183 32.79 1.9497 30.9627 3.4416 44.5552 3.6844 40.9914 6.4608 37.2674 0.0196 48.6856 1.3592 35.2091 -1.5813 50.9704
