%eval_id interface          PUMPB          PUMPC             HR             EF          DENSI          VISCO          PUMPA            LAP           AORP            AOC           AORS         AVGFAO          MXFAO       AVGFLVAD        MXFLVAD          AVGFM           MXFM           QRAT      AO_FF
1        INTERFACE -0.001303999257     144.598457    67.88004979   0.2329321623            1.1         0.0372              0          10000           1700         0.0012            100     7.09466356      163.35335    36.26238719       104.0498   -43.64438868      -343.7025   0.8363665555    17.76678574382145
2        INTERFACE -0.001304438377    167.6475496    66.83937536    0.200950057            1.1         0.0372              0          10000           1700         0.0012            100     6.61576008      128.58647    53.65524723      97.993024   -60.40229053      -319.0532   0.8902331258    14.163058275854922
3        INTERFACE -0.001269965422    142.2223114    68.72876523   0.2218950737            1.1         0.0372              0          10000           1700         0.0012            100    6.850402838      159.37548    35.19199276       94.05835   -42.30867844      -320.3181   0.8370596456    17.124605381146075
4        INTERFACE -0.001312317891    148.2142234     70.4987605   0.2180582352            1.1         0.0372              0          10000           1700         0.0012            100    6.871234951       156.6532    35.88645078      95.857642   -43.05788795     -331.17598   0.8392982493    16.16063219151871
5        INTERFACE -0.001327289357    161.8980371    71.53107353   0.2250177025            1.1         0.0372              0          10000           1700         0.0012            100    7.157746041      167.77073    44.12409382      102.29315   -51.51116752     -357.97165   0.8604233768    16.439377902900198
6        INTERFACE -0.001317018299    138.2978468    65.89959236   0.2086361411            1.1         0.0372              0          10000           1700         0.0012            100    6.997539699       146.0245     31.3117176       83.63489   -38.53600269     -285.82373   0.8173407632    16.74561089437183
7        INTERFACE -0.001296667191    151.0957922     69.9522604   0.2132117012            1.1         0.0372              0          10000           1700         0.0012            100    6.340711116      149.59645     39.1775055       96.01944    -45.6935513     -325.11598   0.8606994828    15.378691349038082
8        INTERFACE -0.001278006237    155.0802658    65.28714825   0.2410249126            1.1         0.0372              0          10000           1700         0.0012            100    7.671142322      167.50575    47.74997555      108.52118   -55.67907675     -356.97284   0.8615844895    19.139547663361
9        INTERFACE -0.001289034838    163.7132995    67.41431549   0.2340716465            1.1         0.0372              0          10000           1700         0.0012            100    7.298310369      156.72263    52.16099125      116.41409   -59.69706358     -368.65337   0.8772553634    16.91740782920786
10       INTERFACE -0.001277046087    157.2678733    69.71151044   0.2064214329            1.1         0.0372              0          10000           1700         0.0012            100    6.115371862      138.43497    44.84071722      98.827921   -51.13803977     -324.00373   0.8799874172     14.135950914741544
11       INTERFACE -0.001282559781    140.3949415    65.76685097   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100     7.68125386      164.66506    35.78669853      96.530758   -43.76443107       -324.631    0.823289264     18.863197275151
12       INTERFACE -0.001306443805    141.6973728    70.62496526   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    9.280235918      193.61926    33.10947604       96.43846   -42.74823458     -361.71819   0.7810733904     20.391188130605734
13       INTERFACE -0.001297572403    147.2677528    67.41448758   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    6.590462446      142.30642    38.09129006      92.423225   -44.90101711     -304.92997   0.8525021496     15.598162498177224
14       INTERFACE -0.001286136923    144.3486071    70.42305001   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    6.126850864      138.54249    33.91917351      86.136208    -40.3257856     -298.68683   0.8470047661     14.363261117646799
15       INTERFACE -0.001276177114    158.8079639    66.45906957   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100     7.67152399       149.9607    49.83033987      104.18863   -57.70626426     -341.45002   0.8665865161     16.75393662662134
16       INTERFACE -0.001329881126    159.3723823    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    6.715171882      142.08837    45.27150498        102.308   -52.20148043     -328.11983   0.8708289838     15.333795675377662
17       INTERFACE -0.001323277886    154.4769387    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    7.134675099      134.85228    43.47032405      88.392537   -50.84994928     -299.39594    0.859012445     15.581240732250237
18       INTERFACE -0.001268600126     162.975485    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    6.849713538      152.82359    51.15974182      112.31378   -58.21681568     -362.90835   0.8819207404     16.035149417870528
19       INTERFACE -0.001312124062    151.4037116    69.57500234   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    6.984602715      164.65025    39.70411345      108.15107   -46.99586831     -357.71283   0.8504006259     17.24114526579993
20       INTERFACE -0.001293205868    167.8192408    71.78865714   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100    6.013051562      148.31891    49.83645142      108.61723   -56.05772057       -354.744   0.8923347346     14.394215191597342
21       INTERFACE -0.001303999257    140.3949415    65.76685097   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100    7.689139443      164.67419    34.67579792      96.460442   -42.66151446     -323.20733   0.8185022823     18.889760215827664
22       INTERFACE -0.001304438377    141.6973728    70.62496526   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    9.449530464      194.46188    33.16535754      95.914639   -42.95761171     -361.73723   0.7782575315     20.500444239554557
23       INTERFACE -0.001269965422    147.2677528    67.41448758   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    6.598537108      142.37293    39.41790322      92.520135   -46.23000642     -308.57012   0.8566047904     15.59418534915589
24       INTERFACE -0.001312317891    144.3486071    70.42305001   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    6.109583189      138.74373    32.58865094      85.912021   -38.97935768     -295.97756   0.8421224295     14.41928157181377
25       INTERFACE -0.001327289357    158.8079639    66.45906957   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100      7.0521068      148.80764    46.46465405      104.94074   -53.74184928     -336.45661   0.8682262026     16.531722491627008
26       INTERFACE -0.001317018299    159.3723823    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    6.524735406      141.25158    45.95560039      103.05056    -52.6930774     -329.45722   0.8756727581     15.198963400712262
27       INTERFACE -0.001296667191    154.4769387    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    7.220472789      134.54847    45.13131985      88.647912   -52.58791074     -301.66572   0.8620778311     15.523727474711016
28       INTERFACE -0.001278006237     162.975485    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    6.758679125      153.87732    50.25953414      110.93571    -57.2190274     -361.81206   0.8814645578     16.108896162714675
29       INTERFACE -0.001289034838    151.4037116    69.57500234   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    7.006932931      164.67098    40.88226183      108.44329   -48.19612885     -360.69937   0.8536844696     17.209256561058567
30       INTERFACE -0.001277046087    167.8192408    71.78865714   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100    6.079177245      147.89736    50.73646963      108.79761   -57.03662243     -356.71384   0.8930017068     14.374098130979679
31       INTERFACE -0.001282559781     144.598457    65.76685097   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100    7.614446867      163.38754    38.54052315      98.603711   -46.44880557     -332.16785   0.8350243351     18.650468623293566
32       INTERFACE -0.001306443805    167.6475496    70.62496526   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    6.938031209      167.78691    51.11913878      121.97101   -58.34691882      -394.7529   0.8804965655     16.80851677314245
33       INTERFACE -0.001297572403    142.2223114    67.41448758   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    6.693546631       146.1585    33.92194472      87.264483   -40.83615488     -296.59598   0.8351972017     16.16251353999551
34       INTERFACE -0.001286136923    148.2142234    70.42305001   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    6.077531769       138.0731    36.46595847      87.636987   -42.81726658     -301.68979   0.8571454355     14.228864872974619
35       INTERFACE -0.001276177114    161.8980371    66.45906957   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100    7.104546607       147.8426    51.85027957      106.72443   -59.15751045     -346.33538   0.8794916876     16.371678090511704
36       INTERFACE -0.001329881126    138.2978468    67.75326637   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    6.723958517      151.45926    29.56376475      87.613192   -36.53177214      -297.5015   0.8147043157     16.766954012775315
37       INTERFACE -0.001323277886    151.0957922    65.19712611   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    7.315091109      136.13265    41.24368311      86.541249   -48.81217194     -294.08678   0.8493559356     15.8113834202945
38       INTERFACE -0.001268600126    155.0802658    68.48228176   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100     6.92908062      155.86678     45.4133423      107.11537   -52.55602511     -351.95504   0.8676201782     16.467726963383473
39       INTERFACE -0.001312124062    163.7132995    69.57500234   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    6.919173673      160.19352    48.38818271      115.24711   -55.59830166     -373.68413   0.8748959609     16.482822010962828
40       INTERFACE -0.001293205868    157.2678733    71.78865714   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100    6.094864929      150.11353     43.0581061       103.9928   -49.39281757     -341.33273   0.8760021052     14.813201651774477
41       INTERFACE -0.001282559781    140.3949415    67.88004979   0.2315013286            1.1         0.0372              0          10000           1700         0.0012            100    7.196397413      163.23826    34.45699367      101.26199   -41.94532921     -340.23524   0.8272314156     17.799243510810438
42       INTERFACE -0.001306443805    141.6973728    66.83937536   0.2418087569            1.1         0.0372              0          10000           1700         0.0012            100    7.768065069      173.98815    35.33776363      103.61421   -43.39403492     -346.70283   0.8197908426     19.430850632181674
43       INTERFACE -0.001297572403    147.2677528    68.72876523   0.2089629219            1.1         0.0372              0          10000           1700         0.0012            100    6.263078743      143.73958    37.15903626      92.709446   -43.64873109     -305.70197   0.8557629276     15.303511201795303
44       INTERFACE -0.001286136923    144.3486071     70.4987605   0.1991684053            1.1         0.0372              0          10000           1700         0.0012            100    6.243485217       140.4272    33.91269575      85.398905   -40.40430811     -298.65651   0.8445199452     14.464729522115585
45       INTERFACE -0.001276177114    158.8079639    71.53107353   0.2224900129            1.1         0.0372              0          10000           1700         0.0012            100    6.640990931      162.16623    44.77834711      103.00492   -51.63540761     -354.11048   0.8708464328     15.89250808032827
46       INTERFACE -0.001329881126    159.3723823    65.89959236   0.2137713121            1.1         0.0372              0          10000           1700         0.0012            100    7.072757652      142.20359    46.99393401      97.699877   -54.25343201     -320.49135   0.8691845675     16.105266971812075
47       INTERFACE -0.001323277886    154.4769387     69.9522604   0.2037152925            1.1         0.0372              0          10000           1700         0.0012            100    5.952588163       139.8596    39.72098221      93.213963   -45.83798165     -313.03887   0.8696710567     14.31721428455284
48       INTERFACE -0.001268600126     162.975485    65.28714825   0.2269261175            1.1         0.0372              0          10000           1700         0.0012            100    8.072838625      152.06959    54.85075926      104.19724   -63.12459711     -350.15495   0.8717041158     17.40596039199327
49       INTERFACE -0.001312124062    151.4037116    67.41431549   0.2338456057            1.1         0.0372              0          10000           1700         0.0012            100    7.113411663      163.05514    40.89390927       106.2138    -48.2702237     -346.13385    0.851826523     17.81747253653306
50       INTERFACE -0.001293205868    167.8192408    69.71151044   0.2158347952            1.1         0.0372              0          10000           1700         0.0012            100     6.18854436      143.45543    51.55755374      109.04151   -57.93999901     -351.44557   0.8928318178     14.520361414076568
51       INTERFACE -0.001282559781    140.3949415    65.76685097   0.2329321623            1.1         0.0372              0          10000           1700         0.0012            100     7.73287691      165.94295     35.8955454      97.296526    -43.9331229     -326.85813   0.8227559811     19.008586378451664
52       INTERFACE -0.001306443805    141.6973728    70.62496526    0.200950057            1.1         0.0372              0          10000           1700         0.0012            100    6.133727412      142.61323    31.24101054      84.718521   -37.62040435     -295.47569   0.8358857413     14.703954771434443
53       INTERFACE -0.001297572403    147.2677528    67.41448758   0.2218950737            1.1         0.0372              0          10000           1700         0.0012            100    6.739577204      153.51265      38.347621       98.51517   -45.33886972     -322.87495   0.8505212683     16.81244949968449
54       INTERFACE -0.001286136923    144.3486071    70.42305001   0.2180582352            1.1         0.0372              0          10000           1700         0.0012            100    6.751704452      155.77435    34.73070373      94.849147   -41.81715554     -326.52749   0.8372393323     16.199035108312803
55       INTERFACE -0.001276177114    158.8079639    66.45906957   0.2250177025            1.1         0.0372              0          10000           1700         0.0012            100    7.428596481      151.26519    49.70093204      106.14553   -57.34650781     -344.68548   0.8699692318     16.821217508357538
56       INTERFACE -0.001329881126    159.3723823    67.75326637   0.2086361411            1.1         0.0372              0          10000           1700         0.0012            100    6.345637134      137.20485    44.95900557      100.02442   -51.51025495     -320.02011   0.8763145634     14.758587149445994
57       INTERFACE -0.001323277886    154.4769387    65.19712611   0.2132117012            1.1         0.0372              0          10000           1700         0.0012            100    7.578146613      143.31106    44.18656716      92.847358     -52.029711     -312.08154   0.8536040082     16.566847692879506
58       INTERFACE -0.001268600126     162.975485    68.48228176   0.2410249126            1.1         0.0372              0          10000           1700         0.0012            100     7.26975488      165.39344    51.87032949      119.29345   -59.37465668     -383.52574   0.8770756762     17.346819965888308
59       INTERFACE -0.001312124062    151.4037116    69.57500234   0.2340716465            1.1         0.0372              0          10000           1700         0.0012            100    6.998862537      164.79025    39.71905267      108.16802   -47.03440397     -358.06032   0.8501888942     17.266037531283157
60       INTERFACE -0.001293205868    167.8192408    71.78865714   0.2064214329            1.1         0.0372              0          10000           1700         0.0012            100    5.855735299      139.17684    49.62022118       103.8616   -55.66447017     -340.34821   0.8944455279     13.49553820380843
